casename;Clade;River;River Basin;Catchment;PC1;PC2;PC3
1;Pink;Bega;Danube;Black Sea;-0,006792051;0,008780191;-0,008548753
2;Pink;Bega;Danube;Black Sea;0,005137932;0,01104326;-0,004846484
3;Pink;Bega;Danube;Black Sea;0,002994506;-0,01039957;-0,008030734
4;Pink;Bega;Danube;Black Sea;0,003825911;0,003203387;0,01224915
5;Pink;Bega;Danube;Black Sea;-0,01608156;0,02123332;-0,005988366
6;Pink;Bega;Danube;Black Sea;0,01382182;-0,0208398;0,009651423
7;Pink;Bega;Danube;Black Sea;0,02136478;-0,01218143;0,001681586
8;Pink;Bega;Danube;Black Sea;0,006881754;0,001658185;-0,01403725
9;Pink;Bega;Danube;Black Sea;-0,01253187;-0,0001170771;0,001710001
10;Pink;Bega;Danube;Black Sea;-0,005489222;0,00390799;0,006929089
11;Pink;Bega;Danube;Black Sea;-0,01097226;0,007452789;0,002787693
12;Pink;Bega;Danube;Black Sea;-0,001257172;-0,005079404;0,01083009
13;Pink;Bega;Danube;Black Sea;0,001691834;-0,01153415;0,008778433
14;Pink;Bega;Danube;Black Sea;-0,01350544;0,001746389;0,01497619
15;Pink;Bega;Danube;Black Sea;0,002490142;-0,00274091;0,006990102
16;Pink;Bega;Danube;Black Sea;0,006325339;-0,00231792;0,000799175
17;Pink;Bega;Danube;Black Sea;-0,01200421;0,01328534;0,005206743
18;Pink;Bega;Danube;Black Sea;-0,006379341;-0,001717627;0,01806335
19;Pink;Bega;Danube;Black Sea;0,007382805;-0,01413017;0,002491283
20;Pink;Bega;Danube;Black Sea;-0,003174618;0,003462691;0,007377706
21;Pink;Bega;Danube;Black Sea;-0,01123476;0,02283483;-0,0008427262
22;Pink;Bega;Danube;Black Sea;0,003502182;0,0003719904;-0,002932226
23;Pink;Bega;Danube;Black Sea;-0,01188076;0,006687461;0,01768356
24;Pink;Bega;Danube;Black Sea;-0,008233155;0,0017576;0,01257015
25;Pink;Bega;Danube;Black Sea;-0,008144064;0,001497849;0,003961259
26;Pink;Bega;Danube;Black Sea;0,0006022346;0,0004012849;-0,001787773
27;Pink;Bega;Danube;Black Sea;-0,02903768;0,01484138;0,008525776
28;Pink;Bega;Danube;Black Sea;-0,01413068;-0,00007205002;0,00666379
29;Pink;Bega;Danube;Black Sea;0,004919795;-0,01246982;0,01210353
30;Pink;Bega;Danube;Black Sea;0,01427214;-0,0108349;0,01584075
31;Pink;Bega;Danube;Black Sea;-0,002694733;-0,004171889;0,002637552
32;Pink;Bega;Danube;Black Sea;-0,003704832;-0,007406881;0,008985098
33;Pink;Bega;Danube;Black Sea;-0,008374203;-0,001096968;0,002466714
34;Pink;Bega;Danube;Black Sea;-0,02428432;0,04005867;0,007426715
35;Pink;Bega;Danube;Black Sea;-0,01302134;0,01516089;-0,002519799
36;Pink;Bega;Danube;Black Sea;0,01714895;-0,01886821;0,009137916
37;Pink;Bega;Danube;Black Sea;-0,01600839;0,006689585;0,001254849
38;Green;Boh;Dnieper;Black Sea;-0,01509432;0,001478267;-0,005839034
39;Green;Boh;Dnieper;Black Sea;-0,03143947;0,02770732;0,0007849031
40;Green;Boh;Dnieper;Black Sea;-0,007500086;0,008662571;-0,01014052
41;Green;Boh;Dnieper;Black Sea;-0,02323505;0,004335035;-0,004222595
42;Green;Boh;Dnieper;Black Sea;-0,01349211;0,01105667;-0,01060017
43;Green;Boh;Dnieper;Black Sea;-0,02995328;0,02817578;-0,01584065
44;Green;Boh;Dnieper;Black Sea;-0,007484023;0,01255682;-0,008044844
45;Green;Boh;Dnieper;Black Sea;0,01031215;-0,0189137;-0,0132883
46;Green;Boh;Dnieper;Black Sea;-0,02400836;0,01362345;-0,01064776
47;Green;Boh;Dnieper;Black Sea;0,01072823;-0,0125374;-0,01435606
48;Green;Boh;Dnieper;Black Sea;-0,0036609;0,002730053;-0,02977508
49;Green;Boh;Dnieper;Black Sea;-0,003721154;-0,005101767;-0,0231819
50;Green;Boh;Dnieper;Black Sea;-0,00821907;-0,001350279;-0,008411529
51;Green;Boh;Dnieper;Black Sea;0,013037;0,006479588;-0,01667026
52;Green;Boh;Dnieper;Black Sea;-0,01925764;0,005372712;-0,001527508
53;Green;Boh;Dnieper;Black Sea;-0,02750538;0,0195603;-0,007179954
54;Green;Boh;Dnieper;Black Sea;-0,01121222;0,0116393;-0,002245081
55;Green;Boh;Dnieper;Black Sea;0,00665914;-0,01794408;-0,003306708
56;Green;Boh;Dnieper;Black Sea;-0,01928099;0,01504156;-0,007157846
57;Green;Boh;Dnieper;Black Sea;0,003192331;-0,003698814;-0,005819792
58;Green;Boh;Dnieper;Black Sea;-0,03983322;0,03347387;-0,01771186
59;Green;Boh;Dnieper;Black Sea;-0,03576113;0,02192755;-0,003821806
60;Green;Boh;Dnieper;Black Sea;-0,01586454;0,003063266;-0,005749669
61;Green;Boh;Dnieper;Black Sea;0,01615087;-0,02166391;-0,02009794
62;Green;Boh;Dnieper;Black Sea;-0,03574734;0,01408915;-0,003409634
63;Green;Boh;Dnieper;Black Sea;0,01427113;0,0055515;-0,01867305
64;Green;Boh;Dnieper;Black Sea;-0,02863711;0,01185469;-0,01207004
