casename;Clade;River;River Basin;Catchment;length [mm];length at age 1 [mm];length at age 2 [mm];length at age 3 [mm]
1;Yellow;Czerkawa;Dniester;Black Sea;59;22,0;25,3;27
2;Pink;San;Vistula;Baltic Sea;62;;16;
3;Green;STUPIA;coastal (S³upia);Baltic Sea;70;22,0;36;44
4;Green;STUPIA;coastal (S³upia);Baltic Sea;68;26,0;39;48
5;Green;STUPIA;coastal (S³upia);Baltic Sea;63;16,0;30;44
6;Pink;Ostawica;Vistula;Baltic Sea;67;13,0;24;36
7;Pink;San;Vistula;Baltic Sea;60;8,0;24;36
8;Pink;Ostawica;Vistula;Baltic Sea;67;26,0;30;35
9;Pink;Grónik;Danube;Black Sea;55;13,1;17,2;25,9
10;Pink;Ostawica;Vistula;Baltic Sea;71;16,0;19;26,5
11;Pink;Ostawica;Vistula;Baltic Sea;58;15,0;21;33,5
12;Pink;Grónik;Danube;Black Sea;55;26,0;34,3;38,4
13;Pink;Ostawica;Vistula;Baltic Sea;57;15,0;26;37
14;Green;Warkocz;Vistula;Baltic Sea;61;22,0;30;34,9
15;Green;STUPIA;coastal (S³upia);Baltic Sea;66;17,0;34;45
16;Pink;Radunia;Vistula;Baltic Sea;46;15,0;21;27
17;Pink;San;Vistula;Baltic Sea;52;17,0;22;27,8
18;Pink;Ostawica;Vistula;Baltic Sea;55;10,6;19;28,6
19;Pink;Bega;Danube;Black Sea;50;14,0;25;28
20;Pink;Radunia;Vistula;Baltic Sea;43;14,0;21;27
21;Green;Czarna Hancza;Neman;Baltic Sea;42;6,0;13;18
22;Green;Czarna Hancza;Neman;Baltic Sea;41;10,0;16,5;24
23;Green;Szeszupa;Neman;Baltic Sea;40;17,2;20;22,9
24;Green;Czarna Hancza;Neman;Baltic Sea;49;9,0;14;21
25;Green;Czarna Hancza;Neman;Baltic Sea;39;8,0;15;22
26;Green;Czarna Hancza;Neman;Baltic Sea;41;8,0;13,5;19
27;Green;Drawa;Oder;Baltic Sea;57;17,0;31;37,5
28;Pink;San;Vistula;Baltic Sea;44;14,2;19,3;22,9
29;Pink;Radunia;Vistula;Baltic Sea;40;18,0;22,5;27
30;Green;Czarna Hancza;Neman;Baltic Sea;35;10,0;16,2;21,5
31;Green;Drawa;Oder;Baltic Sea;54,5;18,0;28;39
32;Green;STUPIA;coastal (S³upia);Baltic Sea;64;15,0;24;32
33;Green;Czarna Hancza;Neman;Baltic Sea;37;7,0;13;20
34;Green;Czarna Hancza;Neman;Baltic Sea;38,5;7,0;12,5;20
35;Green;Czarna Hancza;Neman;Baltic Sea;37;9,0;15,6;23
36;Green;Szeszupa;Neman;Baltic Sea;47;14,0;19;23,1
37;Pink;NISHAVA;Danube;Black Sea;52;16,0;26;33,5
38;Green;Drawa;Oder;Baltic Sea;51,5;18,0;27;34
39;Pink;San;Vistula;Baltic Sea;43;12,0;19;21,8
40;Green;STUPIA;coastal (S³upia);Baltic Sea;68;25,0;37;42,5
41;Green;Czarna Hancza;Neman;Baltic Sea;37;11,0;17;20
42;Green;Szeszupa;Neman;Baltic Sea;47;15,5;24,3;30
43;Green;Warkocz;Vistula;Baltic Sea;63,5;23,0;24;34,5
44;Pink;San;Vistula;Baltic Sea;57;20,0;28;31
45;Green;STUPIA;coastal (S³upia);Baltic Sea;66;19,0;29;37
46;Yellow;Czerkawa;Dniester;Black Sea;53;20,0;25,9;28,2
47;Pink;Ostawica;Vistula;Baltic Sea;60;21,0;34,2;43
48;Pink;Radunia;Vistula;Baltic Sea;45;18,0;22;27
49;Green;Czarna Hancza;Neman;Baltic Sea;47;12,0;18;23
50;Pink;Bega;Danube;Black Sea;47;23,0;28;30
51;Pink;PALAKARIYA;Danube;Black Sea;67;32,0;39,9;44
52;Pink;Grónik;Danube;Black Sea;57;27,0;34,1;40
53;Green;STUPIA;coastal (S³upia);Baltic Sea;60;16,0;24,5;33
54;Green;Czarna Hancza;Neman;Baltic Sea;36;7,7;11;16,2
55;Green;Czarna Hancza;Neman;Baltic Sea;47;10,0;15;20
56;Pink;San;Vistula;Baltic Sea;53;7,0;15;19
57;Pink;Grónik;Danube;Black Sea;56;16,0;26;32
58;Pink;San;Vistula;Baltic Sea;51;13,0;18;24
59;Green;Drawa;Oder;Baltic Sea;66;13,0;24;30
60;Pink;Ostawica;Vistula;Baltic Sea;67;11,7;23;31
61;Pink;Prut;Danube;Black Sea;74;29,0;44;50,2
62;Pink;Radunia;Vistula;Baltic Sea;49;21,0;28,9;33
63;Green;Czarna Hancza;Neman;Baltic Sea;40,5;11,0;17;23
64;Green;STUPIA;coastal (S³upia);Baltic Sea;56;19,0;29;35
65;Pink;San;Vistula;Baltic Sea;45;12,0;16;19
66;Pink;San;Vistula;Baltic Sea;56;20,0;23;27
67;Green;Czarna Hancza;Neman;Baltic Sea;42,5;11,5;16;23
68;Pink;Radunia;Vistula;Baltic Sea;47;19,0;22,2;28
69;Green;Czarna Hancza;Neman;Baltic Sea;39;10,0;15;20
70;Green;Drawa;Oder;Baltic Sea;52;18,0;30;37
71;Pink;San;Vistula;Baltic Sea;55;18,0;22,5;29,8
72;Green;Czarna Hancza;Neman;Baltic Sea;35;14,0;16,7;22
73;Pink;Ostawica;Vistula;Baltic Sea;62;19,0;25;28
74;Green;Czarna Hancza;Neman;Baltic Sea;42,5;9,0;17;20
75;Green;Virvytia;Venta;Baltic Sea;57;17,0;22,3;32
76;Green;STUPIA;coastal (S³upia);Baltic Sea;65;15,0;24;34
77;Green;Szeszupa;Neman;Baltic Sea;51;15,0;21,1;27
78;Pink;Grónik;Danube;Black Sea;52;21,0;23;28
79;Pink;Grónik;Danube;Black Sea;55;27,0;33;37,8
80;Pink;PALAKARIYA;Danube;Black Sea;60;23,0;31;35,5
81;Green;STUPIA;coastal (S³upia);Baltic Sea;61;17,5;33;36
82;Pink;NISHAVA;Danube;Black Sea;50;15,0;23;29,5
83;Pink;San;Vistula;Baltic Sea;53;13,0;21;24
84;Green;STUPIA;coastal (S³upia);Baltic Sea;62;13,0;27;34
85;Pink;San;Vistula;Baltic Sea;52;17,2;24,2;27
86;Pink;Grónik;Danube;Black Sea;50;20,5;28;34
87;Pink;San;Vistula;Baltic Sea;49;19,0;21;26
88;Pink;San;Vistula;Baltic Sea;57;14,2;26;30
89;Pink;San;Vistula;Baltic Sea;47;8,0;12;22
90;Green;LUKNELIS;Neman;Baltic Sea;51;17,0;21,5;26,4
91;Pink;San;Vistula;Baltic Sea;49;14,0;21,5;29
92;Pink;Grónik;Danube;Black Sea;53;18,0;21;28
93;Pink;Ostawica;Vistula;Baltic Sea;70;22,0;33;40
94;Green;Virvytia;Venta;Baltic Sea;51;13,1;16;21,2
95;Pink;Grónik;Danube;Black Sea;46;17,1;24,5;29
96;Pink;Grónik;Danube;Black Sea;49;22,0;30;34
97;Green;Szeszupa;Neman;Baltic Sea;47;15,0;18,9;22,3
98;Green;Warkocz;Vistula;Baltic Sea;56;20,0;25;30,3
99;Green;LUKNELIS;Neman;Baltic Sea;47;19,0;24,7;27
100;Green;Czarna Hancza;Neman;Baltic Sea;41;8,0;15;19
101;Green;LUKNELIS;Neman;Baltic Sea;53;18,0;24;28
102;Green;Czarna Hancza;Neman;Baltic Sea;39;13,0;17;21
103;Green;STUPIA;coastal (S³upia);Baltic Sea;60;18,0;30;39
104;Pink;PALAKARIYA;Danube;Black Sea;53;28,0;33;35
105;Pink;San;Vistula;Baltic Sea;55;8,2;12;16
106;Green;STUPIA;coastal (S³upia);Baltic Sea;62;19,0;31;36,8
107;Pink;PALAKARIYA;Danube;Black Sea;65;21,0;26;35,2
108;Green;Czarna Hancza;Neman;Baltic Sea;41;8,0;15;18
109;Pink;NISHAVA;Danube;Black Sea;56;14,0;22;30
110;Pink;Grónik;Danube;Black Sea;50;20,0;23;26,5
111;Pink;Grónik;Danube;Black Sea;47;19,0;21,5;26
112;Yellow;Czerkawa;Dniester;Black Sea;55;15,2;20;26
113;Green;Drawa;Oder;Baltic Sea;66;19,8;21;30
114;Green;Czarna Hancza;Neman;Baltic Sea;39;5,0;12;16,5
115;Pink;Ostawica;Vistula;Baltic Sea;65;22,0;32,6;41
116;Green;LUKNELIS;Neman;Baltic Sea;54;17,7;23;28
117;Pink;Grónik;Danube;Black Sea;56;22,0;27;33
118;Pink;Ostawica;Vistula;Baltic Sea;61;19,0;29,8;34,8
119;Green;Czarna Hancza;Neman;Baltic Sea;36;13,0;17;21
120;Pink;San;Vistula;Baltic Sea;56,5;12,0;13,5;26
121;Yellow;Czerkawa;Dniester;Black Sea;57;20,0;22,7;25,5
122;Pink;Grónik;Danube;Black Sea;55;26,0;27;28
123;Pink;San;Vistula;Baltic Sea;51;14,0;21,1;22,8
124;Pink;Ostawica;Vistula;Baltic Sea;55;16,3;25;31
125;Green;LUKNELIS;Neman;Baltic Sea;53;15,7;22,5;29
126;Green;Virvytia;Venta;Baltic Sea;50;13,5;20,7;26,4
127;Green;Czarna Hancza;Neman;Baltic Sea;35;7,0;15;19,5
128;Green;Szeszupa;Neman;Baltic Sea;45;14,0;16,8;22,5
129;Green;Szeszupa;Neman;Baltic Sea;48;14,0;21;33
130;Green;STUPIA;coastal (S³upia);Baltic Sea;57;18,0;32;37
131;Pink;Prut;Danube;Black Sea;77;23,9;41,5;46,9
132;Pink;Grónik;Danube;Black Sea;56;21,0;25;29
133;Green;Szeszupa;Neman;Baltic Sea;53;16,0;24,1;26,5
134;Pink;Grónik;Danube;Black Sea;53;23,0;26;31
135;Pink;NISHAVA;Danube;Black Sea;48;12,0;16;22
136;Pink;San;Vistula;Baltic Sea;55;7,0;10;16
137;Pink;Grónik;Danube;Black Sea;50;16,0;21;26
138;Pink;Ostawica;Vistula;Baltic Sea;54,8;15,3;21,2;34,5
139;Green;LUKNELIS;Neman;Baltic Sea;49;16,0;20,5;25
140;Pink;San;Vistula;Baltic Sea;50;14,0;19;23
141;Green;STUPIA;coastal (S³upia);Baltic Sea;62;21,0;30,5;36
142;Green;Szeszupa;Neman;Baltic Sea;55;12,1;22;29
143;Pink;San;Vistula;Baltic Sea;54;9,0;16,5;24
144;Pink;NISHAVA;Danube;Black Sea;43;12,0;19,5;27
145;Pink;NISHAVA;Danube;Black Sea;55;15,0;21;27
146;Pink;San;Vistula;Baltic Sea;51;13,4;20;22,4
147;Green;Szeszupa;Neman;Baltic Sea;49;20,1;32;35,1
148;Green;Czarna Hancza;Neman;Baltic Sea;34;6,0;12;18
149;Pink;San;Vistula;Baltic Sea;54;13,0;18;24
150;Green;Czarna Hancza;Neman;Baltic Sea;37,5;7,0;11;15
151;Pink;San;Vistula;Baltic Sea;51;7,5;12;16,3
152;Pink;San;Vistula;Baltic Sea;49;12,0;18,4;22
153;Green;Czarna Hancza;Neman;Baltic Sea;46;11,0;14;17,5
